Substance ID,SMILES,BertzCT,Kappa2
ZINC000000000186,COc1c2c(cc3c1[C@@H](O)N(C)CC3)OCO2,460.30911765843507,3.784424959779752
ZINC000000000187,COc1cc(O)c(C(=O)c2ccccc2)c(O)c1,552.597904859073,4.7915150018969825
ZINC000000000188,C[C@H](CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,748.5202118739876,6.655053145647801
ZINC000000000189,C[C@@H]1C[C@@H](OC(=O)[C@H](O)c2ccccc2)CC(C)(C)C1,452.56273773139947,5.961066034374057
ZINC000000000190,O=C1N=C(NC2CC2)O[C@H]1c1ccccc1,437.59179936583314,3.627821656658941
ZINC000000000192,CN(C)[C@H]1CCc2[nH]c3ccccc3c2C1,510.42974048620573,3.6327156188142147
ZINC000000000193,C[C@](O)(CC(=O)O)C1CCCCC1,180.608879641505,4.092795761358688
ZINC000000000194,CC[C@H](C(=O)O)C1(O)CCCCC1,182.608879641505,4.092795761358688
ZINC000000000196,CN(C)CCOC(=O)[C@H](c1ccccc1)C1(O)CCCC1,452.3628417120062,7.050653457573624
ZINC000000000198,CC[N+]1(C)CC[C@H](OC(=O)[C@H](c2ccccc2)C2CCCC2)C1,523.7030280338937,7.041659619940431
ZINC000000000199,O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCC1,420.45231089625196,6.933140526690529
ZINC000000000200,CN(C)CC(=O)N1c2ccccc2Sc2ccccc21,608.930061455509,5.306087698364176
ZINC000000000201,O[C@@](C1=NCCN1)(c1ccc(Cl)cc1)c1ccccn1,627.3267025213811,5.2283747478959866
ZINC000000000202,CC1=Nc2ccccc2C[C@@H](c2ccccc2)N1C,601.668946820356,4.884252090145648
ZINC000000000207,O[C@H](Cn1ccnc1)c1ccc(CCc2ccccc2)cc1,675.2240714463726,7.050653457573624
ZINC000000000208,CC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@H](O)C[C@@]21C,706.6846103390365,5.137090530323961
ZINC000000000209,CC(C)NC[C@@H](O)c1ccc(O)cc1,269.12094987019805,4.97980295758765
ZINC000000000210,C1CCC(C2(C3CCCCC3)OC[C@H]([C@@H]3CCCCN3)O2)CC1,349.83796319541057,7.409747989396089
ZINC000000000211,CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)c(C(C)=O)c1,528.8771330348502,8.505070200663715
ZINC000000000212,CN1C(=O)CCS(=O)(=O)[C@H]1c1ccc(Cl)c(Cl)c1,600.3059303970706,4.718089075357585
ZINC000000000214,CCN(CC)CC(=O)N1c2ccccc2Sc2ccccc21,636.7923031168626,6.54612555971734
ZINC000000000215,CCN(CC)[C@@H](C)C(=O)c1ccccc1,303.57180855073926,5.663219405409221
ZINC000000000216,CCN(CC)[C@@H](C)C=C(c1cccs1)c1cccs1,456.6060299373146,7.035588323994857
ZINC000000000217,C[C@@H](C(=O)Nc1cc(-c2ccccc2)nn1-c1ccccc1)N(C)C,840.6474179205453,7.31810862042364
ZINC000000000219,CC[C@@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,732.650671102026,6.337901628826777
ZINC000000000220,CC[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12,732.650671102026,6.337901628826777
ZINC000000000221,Cn1cnc2c1c(=O)n(C[C@H](O)CO)c(=O)n2C,696.191196074724,4.389543779405982
ZINC000000000223,COc1ccc2c(=O)c(C)c(-c3ccccc3)oc2c1CN(C)C,927.0070930369708,6.49418610696643
ZINC000000000224,CN1CC[C@](C)(CN2c3ccccc3Sc3ccccc32)C1,653.8394682639768,5.322986681067653
ZINC000000000226,CC(=O)Nc1ccc(C(=O)O)cc1,329.21798022455295,3.7092512583454584
ZINC000000000229,CC1=C2CC[C@H]3[C@@H]([C@H](O)C[C@]4(C)[C@@H]3CC[C@@]4(C)O)[C@]2(C)CCC1=O,618.5733968704452,4.944233761592136
ZINC000000000230,C[C@@H](C=C(c1cccs1)c1cccs1)N(C)C,430.05998757572485,5.625889694720865
ZINC000000000231,CNC[C@@H](O)c1cc(OC)c(O)c(OC)c1,328.8329535945258,5.576537391739801
ZINC000000000232,CCN[C@@H](C)[C@@H](O)c1ccc(O)c(O)c1,327.6091145750728,4.9999590646139
ZINC000000000233,O=C(OCCN1CCCCC1)[C@@H](c1ccccc1)N1CCCCC1,493.62012947079734,9.186747053944881
ZINC000000000234,Cc1nc2ccccc2c(=O)n1C[C@H](O)CO,591.8107019927032,4.646847344740849
ZINC000000000235,C[C@H]1Oc2ccc(Cl)cc2N(C[C@H](O)CO)C1=O,465.39067438746787,5.136509258277945
ZINC000000000238,OC[C@H]1CO[C@H](CI)O1,78.27229264640108,3.699201815239914
