SMILES,Yield_CO_s,Yield_CO_l,Yield_CO_cl,Yield_CA,Yield_CS,Yield_CN
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C3=C4C(C=CC=C4)=C(N(C5=CC=C(C=C5)OC)C6=CC=C(C=C6)OC)C7=C3C=CC=C7,0,9,1,0,0,2
O=[N+](C1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C=C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)C=C1N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)[O-],0,0,0,0,0,0
O=[N+](C(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5)=C5N(C6=CC=CC=C6)C7=CC=CC=C7)[O-],0,15,0,2,0,16
CC(C=C1)=CC=C1N(C2=CC=C(C)C=C2)C3=C(C(N(C4=CC=C(C)C=C4)C5=CC=C(C)C=C5)=CC(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)=C3)[N+]([O-])=O,0,0,0,0,0,8
BrC(C=C1)=CC=C1N(C2=CC=C(Br)C=C2)C3=C(C(N(C4=CC=C(Br)C=C4)C5=CC=C(Br)C=C5)=CC(N(C6=CC=C(Br)C=C6)C7=CC=C(Br)C=C7)=C3)[N+]([O-])=O,0,52,9,8,0,5
O=C1C2=C(C=CC(N3C(C=CC=C4)=C4C5=C3C=CC=C5)=C2)C(C6=CC(N7C(C=CC=C8)=C8C9=C7C=CC=C9)=CC=C61)=O,0,0,0,0,0,0
O=C1C2=C(C=CC(N(C3=CC=CC=C3)C4=CC=CC=C4)=C2)C(C5=CC(N(C6=CC=CC=C6)C7=CC=CC=C7)=CC=C51)=O,0,0,0,0,0,0
O=S(C(C=C1)=CC=C1N(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6)=O,0,1,0,0,0,2
O=S(C1=CC=C(N(C2=CC=C(C=C2)C(C)(C)C)C3=CC=C(C=C3)C(C)(C)C)C=C1)(C4=CC=C(N(C5=CC=C(C=C5)C(C)(C)C)C6=CC=C(C=C6)C(C)(C)C)C=C4)=O,0,28,21,1,0,2
O=S(C1=CC=C(N(C2=CC=C(C=C2)C)C3=CC=C(C=C3)C)C=C1)(C4=CC=C(N(C5=CC=C(C=C5)C)C6=CC=C(C=C6)C)C=C4)=O,0,22,13,0,0,4
FC(C(C=C1)=CC=C1N2C3=CC=CC=C3N(C4=CC=C(C=C4)C(F)(F)F)C5=C2C=CC=C5)(F)F,0,14,3,15,2,9
COC(C=C1)=CC=C1N2C3=C(C=CC=C3)N(C4=CC=C(C=C4)OC)C5=CC=CC=C52,0,0,0,1,0,4
C12=CC=CC=C1N(C3=CC=C(C=CC=C4)C4=C3)C5=C(C=CC=C5)N2C6=CC=C(C=CC=C7)C7=C6,0,3,0,10,0,8
FC(C(N(C1=CC=CC=C1)C2=CC=CC=C2)=C(F)C(N(C3=CC=CC=C3)C4=CC=CC=C4)=C5C#N)=C5N(C6=CC=CC=C6)C7=CC=CC=C7,36,52,46,65,5,87
N#CC1=C(N2C(C=CC=C3)=C3C4=C2C=CC=C4)C(N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(N8C(C=CC=C9)=C9C%10=C8C=CC=C%10)C(N%11C(C=CC=C%12)=C%12C%13=C%11C=CC=C%13)=C1N%14C(C=CC=C%15)=C%15C%16=C%14C=CC=C%16,42,87,54,79,17,99
O=C(C(C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=CC=C3)=O)C4=CC=C(C=C4)N(C5=CC=CC=C5)C6=CC=CC=C6,0,12,24,0,0,0
C1(C2=NC3=C(C=CC=C3)S2)=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C1,0,48,21,1,0,4
C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)O2,0,0,10,0,0,4
C12=CC=CC=C1N(C3=CC=CC=C3)C4=C(C=CC=C4)S2,0,44,22,0,0,1
C1(C=CC=C2)=C2C=C(SC(C=CC=C3)=C3N4C5=CC=CC=C5)C4=C1,12,70,40,7,59,3
C12=CC=CC=C1C(C3=CC=CC=C3)=C4C(C=CC=C4)=C2C5=CC=CC=C5,0,0,7,0,0,2
COC(C=C1)=CC=C1C2=C3C(C=CC=C3)=C(C4=CC=C(C=C4)OC)C5=CC=CC=C52,0,4,12,0,0,2
C1(C2=C3C4=CC=CC3=CC=C2)=C(C4=CC=C5)C5=CC=C1,0,0,19,0,94,56
N#CC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)C#N,0,5,2,0,0,0
O=C(N(C1=CC(C)=CC(C)=C1)C2=O)C3=CC=C4C5=C(C6=C7C4=CC=C8C7=C(C(N(C9=CC(C)=CC(C)=C9)C8=O)=O)C=C6)C=CC2=C53,0,0,0,0,0,0
O=C(N(C1=CC=CC=C1)C2=O)C3=C(C2=CC=C4C(N(C5=CC=CC=C5)C6=O)=O)C4=C6C=C3,0,0,0,9,0,0
CN(C1=CC=C(C2=CC(C3=CC=C(C=C3)N(C)C)=CC(C4=CC=C(C=C4)N(C)C)=C2)C=C1)C,0,15,5,0,0,2
C1(C2=CC(C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)=CC(C6=CC=C(C=C6)N(C7=CC=CC=C7)C8=CC=CC=C8)=C2)=CC=C(C=C1)N(C9=CC=CC=C9)C%10=CC=CC=C%10,0,36,17,0,0,2
CN(C)C1=CC=C2C(OC(C=C2C(F)(F)F)=O)=C1,0,0,4,0,0,1
O=C1OC2=C3C(N(CCC3)CCC4)=C4C=C2C=C1C#N,0,1,2,0,0,23
O=C1OC2=C3C(N(CCC3)CCC4)=C4C=C2C=C1S(=O)(C)=O,0,2,0,0,5,18
O=C1C(O)=CC(C(OC2=C3C=C(O)C(O)=C2)=C1)=C3C4=CC=CC=C4,0,0,0,0,0,0
O=C1C=CC2=NC3=C(C=C(O)C=C3)OC2=C1,0,0,1,0,0,0
O=C1C2=C(C=CC=C2)C3=C1C=CC=C3,0,0,15,2,0,6
O=C1C2=CC=CC=C2C3=C(C=CC=C3)C1=O,0,0,0,0,0,0
O=C(C1=CC=CC=C1)C2=CC(C(C3=CC=CC=C3)=O)=CC(C(C4=CC=CC=C4)=O)=C2,0,0,2,0,0,2
O=C1C2=C(C=CC(Cl)=C2)SC3=C1C=CC=C3,0,51,20,1,0,7
