SMILES,ABCGG,AATSC3d,ATSC3d,GGI10,ATSC4i,BCUTp-1l,Kier3,AATS8p,Kier2,VSA_EState3,Kappa3,Kappa2,PEOE_VSA6,BertzCT,EState_VSA3,Yield_CO,Yield_CS,Yield_CN
ClC(C=C1)=CC=C1N(C2=CC=C(C=C2)Cl)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Cl)C6=CC=C(C=C6)Cl)C=C4)=O,23.65472534,-0.072281109,-11.42041522,0.181205999,33.76443283,0.752743952,8.54489603,1.688787451,15.93194707,2.615634965,6.621210461,13.1712221,46.40375956,1640.868809,31.21743624,1,5,99
BrC(C=C1)=CC=C1N(C2=CC=C(C=C2)Br)C(C=C3)=CC=C3C(C4=CC=C(N(C5=CC=C(C=C5)Br)C6=CC=C(C=C6)Br)C=C4)=O,23.65472534,-0.072281109,-11.42041522,0.181205999,26.27961335,0.752744462,8.54489603,1.916257092,15.93194707,0,6.9164456,13.65333883,63.71977559,1640.868809,11.12690298,1,5,99
O=C(C1=CC=C(N(C2=CC=C(C3=CC=CC=C3)C=C2)C4=CC=C(C5=CC=CC=C5)C=C4)C=C1)C6=CC=C(N(C7=CC=C(C8=CC=CC=C8)C=C7)C9=CC=C(C%10=CC=CC=C%10)C=C9)C=C6,30.37741784,-0.095647111,-24.67695473,0.37792062,7.810468713,0.752734451,11.96346939,1.711424859,23.74002549,0,8.516849768,18.21277105,169.8582779,2697.764433,11.12690298,3,96,99
N#CC(C=C(N1C(C=CC=C2)=C2C3=C1C=CC=C3)C(N4C(C=CC=C5)=C5C6=C4C=CC=C6)=C7)=C7C#N,22.02470889,-0.019036849,-2.49382716,0.114682175,1.922778152,0.960576516,4.139322917,1.671037324,10.52549428,24.46263589,2.672318976,7.599106086,72.79640482,1818.751248,11.12690298,23,4,55
N#CC(C=C(N1C(C=CC(C(C)(C)C)=C2)=C2C3=C1C=CC(C(C)(C)C)=C3)C(N4C(C=CC(C(C)(C)C)=C5)=C5C6=C4C=CC(C(C)(C)C)=C6)=C7)=C7C#N,31.11213635,0.102484713,26.95347943,1.372912968,59.51811425,0.960576516,7.476806641,1.57752742,14.42960616,25.52317777,5.6640997,11.59580905,107.3503147,2340.768291,11.12690298,82,10,99
ClC(C=C1)=CC2=C1N(C3=C2C=C(Cl)C=C3)C(C(N4C(C=CC(Cl)=C5)=C5C6=C4C=CC(Cl)=C6)=C7)=CC(C#N)=C7C#N,24.16549465,-0.010785453,-1.412894376,0.525260688,3.046497888,0.960576516,4.939718935,1.886756602,11.49306122,26.08675204,3.661234167,9.203631263,46.40375956,2016.288817,31.4653058,7,3,23
CC(C(C=C1)=CC=C1N(C2=CC=C(C=C2)C(C)(C)C)C3=C4C(C=CC=C4)=CC=C3)(C)C,18.80935425,-0.004280187,-0.676269531,0.321803898,27.33277687,1.045610817,5.566863905,1.506502272,9.70011534,2.50686962,4.3676526,7.887538198,102.2060939,1107.487442,0,0,0,1
C1(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,14.41290483,0.010710271,0.996055227,0,14.22987537,0.778253894,2.919850618,1.120125969,6.9575,2.461074263,1.89820402,5.135798989,60.66367068,1003.456292,0,5,10,2
C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5OC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,23.67097168,-0.05472004,-10.56096779,0.329558208,-17.49882359,0.778242228,7.2,1.65343498,15.539375,2.397961472,5.008635336,11.76460189,157.7255438,2258.355114,0,3,7,43
C1(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)=C(C=CC=C5)C5=CC=C1,14.41290483,0.010710271,0.996055227,0,5.999533487,1.045570617,2.919850618,1.216381658,6.9575,2.541384165,2.03655968,5.42952373,72.42555563,1003.456292,0,3,2,1
C1(N2C(C=CC(C3=CC=C(C4=CC=CC=C4)C=C3)=C5)=C5SC6=C2C=CC(C7=CC=C(C8=CC=CC=C8)C=C7)=C6)=C(C=CC=C9)C9=CC=C1,23.67097168,-0.05472004,-10.56096779,0.329558208,-11.92569222,1.045558734,7.2,1.732509039,15.539375,2.478271374,5.171331212,12.07613536,169.4874287,2258.355114,0,10,90,50
FC(C(C=C1)=CC=C1C2=CC(SC3=C4C=CC(C5=CC=C(C=C5)C(F)(F)F)=C3)=C(C=C2)N4C6=C(C=CC=C7)C7=CC=C6)(F)F,23.5475994,-0.097354457,-15.08994083,0.429139884,13.87339716,0.52461082,6.817230653,1.57463361,13.13227147,2.103247799,5.089584799,10.48725377,84.55828977,1899.56884,11.12690298,11,95,19
